fips,state,county,rate_mort_period3,rate_vaccination
1001,Alabama,Autauga,0.18195731655471473,0.33944392483632346
1003,Alabama,Baldwin,0.17862767348241984,0.4293061566141858
1005,Alabama,Barbour,0.18237323078142964,0.3772350632359355
1007,Alabama,Bibb,0.21082851119185397,0.3112636253532499
1009,Alabama,Blount,0.22153076064531405,0.274207731592654
1013,Alabama,Butler,0.2729515510996798,0.36034853813448114
1015,Alabama,Calhoun,0.3143222748001133,0.40422188060906383
1017,Alabama,Chambers,0.24732543425744852,0.26814678476935466
1019,Alabama,Cherokee,0.1481718793800809,0.30106924031876975
1021,Alabama,Chilton,0.2621406673479362,0.31088105922601855
1025,Alabama,Clarke,0.25988651622125003,0.47169402694156887
1029,Alabama,Cleburne,0.29888416578108395,0.2791578108395324
1031,Alabama,Coffee,0.3142242588609371,0.3412699897128963
1033,Alabama,Colbert,0.2603666101665298,0.41994163594107675
1039,Alabama,Covington,0.388607931860527,0.3394463667820069
1043,Alabama,Cullman,0.26972890537864475,0.3332574602235222
1045,Alabama,Dale,0.25949803349146494,0.47402992336698696
1047,Alabama,Dallas,0.44979460246477043,0.3753834953980552
1049,Alabama,DeKalb,0.30164227460618925,0.30027371243436485
1051,Alabama,Elmore,0.24551871511872422,0.35754799549882355
1053,Alabama,Escambia,0.2802187338466143,0.3238838860625187
1055,Alabama,Etowah,0.4079817471673305,0.3646409373912371
1057,Alabama,Fayette,0.4043869860915385,0.31101035475767413
1059,Alabama,Franklin,0.22109426089122786,0.3832715722604553
1061,Alabama,Geneva,0.4201207847256086,0.33962264150943394
1067,Alabama,Henry,0.3382713169252304,0.40225125393677824
1069,Alabama,Houston,0.3358146303240611,0.37720378351150163
1071,Alabama,Jackson,0.3081077996918922,0.4256262005743738
1073,Alabama,Jefferson,0.20675212421134068,0.5005683830798211
1077,Alabama,Lauderdale,0.2511649779829849,0.4123060151340259
1079,Alabama,Lawrence,0.24491276872373235,0.4221268103891392
1081,Alabama,Lee,0.10158343902984947,0.3272880665285438
1083,Alabama,Limestone,0.1506227672105822,0.31453123491358503
1087,Alabama,Macon,0.19967233258242884,0.3872619291419209
1089,Alabama,Madison,0.13989328950182014,0.5154410760705186
1091,Alabama,Marengo,0.336386689437458,0.4813952284841898
1093,Alabama,Marion,0.29651341126750963,0.33315156265975937
1095,Alabama,Marshall,0.24689587345818137,0.40036061140023765
1097,Alabama,Mobile,0.23167289041462458,0.4335706313025995
1099,Alabama,Monroe,0.27817115112279994,0.41240137568278373
1101,Alabama,Montgomery,0.2153270962726137,0.4553098002218786
1103,Alabama,Morgan,0.2584649289829121,0.3777396067119858
1107,Alabama,Pickens,0.3137583015217278,0.4530669873973749
1109,Alabama,Pike,0.27568238965130726,0.37320124814444544
1111,Alabama,Randolph,0.16388218691673875,0.31356125096736015
